AMP:,LAT,LONG,pSeg,al_Wt,MinDis,NaN,0.010000,0.015000,0.030000,0.053600,0.065000,0.070000,0.088700,0.100000,0.120000,0.150000,0.200000,0.250000,0.340000,0.450000
Poisson_Prob:,31.069,34.635,0.000,0.000,0.0,NaN,0.5654E-01,0.2444E-01,0.8237E-02,0.3094E-02,0.1926E-02,0.1542E-02,0.6291E-03,0.4581E-03,0.3404E-03,0.9766E-04,0.2586E-04,0.1019E-04,0.5077E-05,0.1310E-05
Poisson_Prob:,31.069,34.635,0.000,0.000,0.0,NaN,0.8439E-01,0.4188E-01,0.1115E-01,0.2727E-02,0.1570E-02,0.1256E-02,0.5930E-03,0.3976E-03,0.2117E-03,0.9447E-04,0.3183E-04,0.1309E-04,0.3924E-05,0.1303E-05
