lat,long,name
33.4753615334,34.2667963556,0
33.4663440504,34.2666651388,1
33.4573265538,34.2665339805,2
33.4483090436,34.2664028806,3
33.4392915198,34.266271839,4
33.4302739824,34.2661408557,5
33.4212564315,34.2660099308,6
33.4122388669,34.2658790641,7
33.4032212888,34.2657482557,8
33.3942036971,34.2656175055,9
33.3851860918,34.2654868135,10
33.3761684729,34.2653561798,11
33.3671508405,34.2652256041,12
33.3581331945,34.2650950866,13
33.3491155349,34.2649646272,14
33.3400978617,34.2648342259,15
33.331080175,34.2647038827,16
33.3220624748,34.2645735975,17
33.3130447609,34.2644433703,18
33.3040270335,34.2643132011,19
33.2950092926,34.2641830899,20
33.2859915381,34.2640530366,21
33.27697377,34.2639230412,22
33.2679559884,34.2637931037,23
33.2589381932,34.2636632241,24
33.2499203845,34.2635334023,25
33.2409025622,34.2634036383,26
33.2318847264,34.2632739322,27
33.2228668771,34.2631442838,28
33.2138490142,34.2630146931,29
33.2048311378,34.2628851602,30
33.1958132478,34.262755685,31
33.1867953443,34.2626262674,32
33.1777774273,34.2624969075,33
33.1687594968,34.2623676052,34
33.1597415527,34.2622383606,35
33.1507235951,34.2621091735,36
33.141705624,34.2619800439,37
33.1326876393,34.2618509719,38
33.1236696412,34.2617219574,39
33.1146516295,34.2615930004,40
33.1056336043,34.2614641008,41
33.0966155656,34.2613352587,42
33.0875975133,34.261206474,43
33.0785794476,34.2610777467,44
33.0695613684,34.2609490767,45
33.0605432756,34.2608204641,46
33.0515251694,34.2606919088,47
33.0425070496,34.2605634107,48
33.0334889164,34.26043497,49
33.0244707696,34.2603065865,50
33.0154526094,34.2601782602,51
33.0064344357,34.2600499911,52
32.9974162484,34.2599217792,53
32.9883980477,34.2597936244,54
32.9793798335,34.2596655268,55
32.9703616058,34.2595374862,56
32.9613433647,34.2594095028,57
32.95232511,34.2592815764,58
32.9433068419,34.259153707,59
32.9342885603,34.2590258946,60
32.9252702652,34.2588981392,61
32.9162519567,34.2587704408,62
32.9072336347,34.2586427993,63
32.8982152992,34.2585152147,64
32.8891969502,34.2583876871,65
32.8801785878,34.2582602162,66
32.8711602119,34.2581328023,67
32.8621418226,34.2580054451,68
32.8531234198,34.2578781447,69
32.8441050035,34.2577509011,70
32.8350865738,34.2576237143,71
32.8260681307,34.2574965842,72
32.8170496741,34.2573695108,73
32.808031204,34.257242494,74
32.7990127205,34.2571155339,75
32.7899942236,34.2569886305,76
32.7809757132,34.2568617836,77
32.7719571894,34.2567349934,78
32.7629386521,34.2566082597,79
32.7539201014,34.2564815825,80
32.7449015373,34.2563549619,81
32.7358829597,34.2562283977,82
32.7268643687,34.2561018901,83
32.7178457643,34.2559754388,84
32.7088271465,34.255849044,85
32.6998085152,34.2557227056,86
32.6907898705,34.2555964236,87
32.6817712124,34.2554701979,88
32.6727525409,34.2553440285,89
32.663733856,34.2552179155,90
32.6547151576,34.2550918587,91
32.6456964458,34.2549658582,92
32.6366777207,34.2548399139,93
32.6276589821,34.2547140259,94
32.6186402301,34.254588194,95
32.6096214648,34.2544624183,96
32.600602686,34.2543366987,97
32.5915838938,34.2542110353,98
32.5825650882,34.254085428,99
32.5735462693,34.2539598767,100
32.5645274369,34.2538343815,101
32.5555085912,34.2537089423,102
32.546489732,34.2535835592,103
32.5374708595,34.253458232,104
32.5284519736,34.2533329608,105
32.5194330743,34.2532077455,106
32.5104141617,34.2530825861,107
32.5013952356,34.2529574826,108
32.4923762962,34.252832435,109
32.4833573435,34.2527074433,110
32.4743383773,34.2525825073,111
32.4653193978,34.2524576272,112
32.4563004049,34.2523328028,113
32.4472813986,34.2522080342,114
32.438262379,34.2520833214,115
