lat,long,name
33.253044,35.794487,0
33.2995428,35.795517,1
33.3431488,35.7996368,2
33.160547,35.7920837,3
33.2088185,35.7920837,4
33.0708293,35.7896805,5
33.1203004,35.793457,6
32.9801562,35.7872772,7
33.0328443,35.7920837,8
32.9406914,35.7879639,89
32.8942906,35.7852173,9
32.8530571,35.7865906,10
32.8031476,35.7824707,11
32.7618717,35.7810974,12
32.7096,35.7810974,13
32.6717489,35.7783508,14
33.2975341,35.8506203,15
33.2523262,35.8506203,16
32.7090222,35.8374023,17
32.7549424,35.8353424,18
32.8034362,35.8387756,19
32.8472887,35.8428955,20
32.9406914,35.8387756,21
33.0305417,35.8470154,22
32.9804442,35.8449554,23
33.1226007,35.8456421,24
33.0699662,35.8452988,25
33.2099675,35.8483887,26
32.8940024,35.8408356,27
33.1616966,35.8463287,28
32.9412677,35.9033203,29
32.8934258,35.8943939,30
32.9810201,35.9060669,31
33.0737063,35.901947,33
33.1191502,35.9046936,34
33.163421,35.9067535,35
33.210542,35.9101868,36
33.2536182,35.9115601,37
33.2960993,35.91362,38
33.0288146,35.9005737,39
31.2914605,34.2045593,40
31.3395629,34.2073059,41
31.3806064,34.2018127,42
29.6200273,34.8513794,60
29.5734571,34.854126,61
29.5244755,34.854126,62
29.4838386,34.8554993,63
29.6164457,34.9131775,65
29.5698739,34.9104309,66
29.5280603,34.9090576,67
29.4754701,34.9118042,68
29.6164457,34.9612427,76
29.5686794,34.9612427,69
29.5256704,34.962616,70
29.4778612,34.9639893,71
29.5710683,35.0161743,72
29.5244755,35.0161743,73
29.4826431,35.0161743,74
29.6152518,35.0134277,75
31.4729450699,34.2601058726,44
31.4278430499,34.2595022063,45
31.3827407016,34.258899894,46
31.3376380253,34.2582989331,47
31.2925350214,34.2576993208,48
31.2474316901,34.2571010546,49
31.2023280318,34.2565041318,50
31.1572240466,34.2559085498,51
31.5175170565,34.31335892,128
31.4724162951,34.3127286481,129
31.4273152044,34.3120997896,130
31.3822137846,34.3114723416,131
31.3371120359,34.3108463014,132
31.2920099588,34.3102216661,133
31.2469075534,34.309598433,134
31.20180482,34.3089765993,135
31.156701759,34.3083561623,136
31.1115983707,34.3077371193,137
31.0664946552,34.3071194674,138
31.0213906129,34.306503204,139
31.6071642899,34.367320988,211
31.5620651582,34.3666625216,212
31.5169656956,34.366005531,213
31.4718659025,34.3653500132,214
31.4267657791,34.3646959654,215
31.3816653257,34.3640433845,216
31.3365645426,34.3633922677,217
31.29146343,34.3627426121,218
31.2463619884,34.3620944149,219
31.2012602179,34.3614476731,220
31.1561581188,34.3608023839,221
31.1110556914,34.3601585445,222
31.0659529361,34.3595161519,223
31.0208498531,34.3588752035,224
30.9757464427,34.3582356963,225
30.9306427053,34.3575976275,226
30.885538641,34.3569609944,227
30.8404342502,34.3563257941,228
31.6065892598,34.4200167856,296
31.5614911363,34.4193329627,297
31.5163926809,34.4186506724,298
31.4712938941,34.4179699115,299
31.426194776,34.4172906772,300
31.3810953269,34.4166129663,301
31.3359955473,34.4159367759,302
31.2908954372,34.4152621029,303
31.2457949971,34.4145889444,304
31.2006942272,34.4139172974,305
31.1555931278,34.4132471589,306
31.1104916993,34.4125785259,307
31.0653899418,34.4119113955,308
31.0202878558,34.4112457648,309
30.9751854414,34.4105816308,310
30.930082699,34.4099189906,311
30.8849796289,34.4092578413,312
30.8398762314,34.4085981799,313
30.7947725067,34.4079400037,314
30.7496684553,34.4072833097,315
31.6961856572,34.4741341841,379
31.6510892463,34.4734218196,380
31.605992502,34.4727110507,381
31.5608954247,34.4720018744,382
31.5157980146,34.4712942874,383
31.470700272,34.4705882866,384
31.4256021972,34.4698838688,385
31.3805037905,34.4691810309,386
31.3354050521,34.4684797699,387
31.2903059824,34.4677800825,388
31.2452065817,34.4670819657,389
31.2001068503,34.4663854164,390
31.1550067883,34.4656904315,391
31.1099063963,34.4649970079,392
31.0648056744,34.4643051426,393
31.0197046229,34.4636148325,394
30.9746032421,34.4629260747,395
30.9295015324,34.462238866,396
30.8843994941,34.4615532034,397
30.8392971274,34.4608690839,398
30.7941944326,34.4601865046,399
30.74909141,34.4595054624,400
30.70398806,34.4588259544,401
30.6588843828,34.4581479776,402
30.6137803788,34.457471529,403
31.740659992,34.5276172162,463
31.6955650021,34.5268777315,464
31.6504696776,34.5261399027,465
31.6053740187,34.5254037267,466
31.5602780257,34.5246692001,467
31.5151816989,34.5239363195,468
31.4700850385,34.5232050819,469
31.424988045,34.5224754838,470
31.3798907185,34.5217475221,471
31.3347930593,34.5210211935,472
31.2896950679,34.5202964948,473
31.2445967444,34.5195734228,474
31.1994980891,34.5188519743,475
31.1543991024,34.5181321461,476
31.1092997846,34.517413935,477
31.0642001359,34.5166973378,478
31.0191001567,34.5159823515,479
30.9739998472,34.5152689728,480
30.9288992078,34.5145571986,481
30.8837982387,34.5138470257,482
30.8386969403,34.5131384512,483
30.7935953128,34.5124314717,484
30.7484933566,34.5117260844,485
30.703391072,34.511022286,486
30.6582884592,34.5103200735,487
30.6131855187,34.5096194438,488
30.5680822506,34.5089203939,489
30.5229786553,34.5082229208,490
30.4778747331,34.5075270213,491
30.4327704843,34.5068326925,492
30.3876659093,34.5061399313,493
31.9654806869,34.5842354592,543
31.9203885057,34.5834618394,544
31.8752959873,34.58268995,545
31.8302031321,34.5819197874,546
31.7851099402,34.5811513482,547
31.7400164119,34.580384629,548
31.6949225476,34.5796196263,549
31.6498283476,34.5788563367,550
31.6047338121,34.5780947567,551
31.5596389415,34.5773348831,552
31.514543736,34.5765767123,553
31.4694481959,34.575820241,554
31.4243523216,34.5750654659,555
31.3792561132,34.5743123836,556
31.3341595712,34.5735609907,557
31.2890626958,34.5728112839,558
31.2439654874,34.5720632599,559
31.1988679461,34.5713169154,560
31.1537700724,34.570572247,561
31.1086718665,34.5698292516,562
31.0635733288,34.5690879257,563
31.0184744594,34.5683482662,564
30.9733752588,34.5676102698,565
30.9282757272,34.5668739332,566
30.883175865,34.5661392533,567
30.8380756724,34.5654062267,568
30.7929751497,34.5646748503,569
30.7478742973,34.5639451208,570
30.7027731155,34.5632170351,571
30.6576716045,34.56249059,572
30.6125697647,34.5617657823,573
30.5674675964,34.5610426089,574
30.5223650999,34.5603210666,575
30.4772622756,34.5596011522,576
30.4321591236,34.5588828627,577
30.3870556444,34.5581661949,578
30.3419518382,34.5574511457,579
31.9648094363,34.6371295924,628
31.9197184244,34.6363301709,629
31.8746270742,34.6355325373,630
31.829535386,34.6347366882,631
31.7844433601,34.6339426199,632
31.7393509966,34.6331503289,633
31.6942582961,34.6323598116,634
31.6491652587,34.6315710645,635
31.6040718847,34.630784084,636
31.5589781745,34.6299988667,637
31.5138841284,34.6292154091,638
31.4687897466,34.6284337076,639
31.4236950294,34.6276537588,640
31.3785999771,34.6268755592,641
31.3335045901,34.6260991053,642
31.2884088687,34.6253243937,643
31.2433128131,34.6245514211,644
31.1982164236,34.6237801838,645
31.1531197006,34.6230106787,646
31.1080226444,34.6222429021,647
31.0629252552,34.6214768509,648
31.0178275334,34.6207125215,649
30.9727294792,34.6199499106,650
30.9276310931,34.6191890149,651
30.8825323752,34.618429831,652
30.8374333259,34.6176723556,653
30.7923339455,34.6169165854,654
30.7472342344,34.616162517,655
30.7021341927,34.6154101472,656
30.6570338209,34.6146594727,657
30.6119331193,34.6139104902,658
30.5668320881,34.6131631964,659
30.5217307276,34.612417588,660
30.4766290383,34.6116736619,661
30.4315270204,34.6109314148,662
30.3864246741,34.6101908435,663
30.3413219999,34.6094519448,664
30.2962189981,34.6087147153,665
30.2511156689,34.6079791521,666
30.2060120127,34.6072452519,667
32.0542947505,34.6916779289,711
32.0092056261,34.6908490067,712
31.9641161617,34.6900219377,713
31.9190263574,34.689196718,714
31.8739362137,34.6883733439,715
31.8288457308,34.6875518118,716
31.783754909,34.686732118,717
31.7386637486,34.6859142587,718
31.69357225,34.6850982304,719
31.6484804133,34.6842840293,720
31.603388239,34.6834716519,721
31.5582957273,34.6826610944,722
31.5132028785,34.6818523534,723
31.4681096929,34.6810454252,724
31.4230161709,34.6802403061,725
31.3779223126,34.6794369927,726
31.3328281185,34.6786354813,727
31.2877335888,34.6778357684,728
31.2426387239,34.6770378505,729
31.197543524,34.676241724,730
31.1524479895,34.6754473854,731
31.1073521206,34.6746548312,732
31.0622559176,34.6738640578,733
31.017159381,34.6730750619,734
30.9720625109,34.67228784,735
30.9269653077,34.6715023885,736
30.8818677718,34.670718704,737
