lat,long,name
33.4955420778,34.0853427862,0
33.4775059808,34.0851178165,1
33.4594698299,34.0848930471,2
33.4414336251,34.0846684777,3
33.4233973664,34.0844441082,4
33.4053610539,34.0842199384,5
33.3873246875,34.0839959682,6
33.3692882673,34.0837721974,7
33.3512517933,34.0835486258,8
33.3332152655,34.0833252532,9
33.3151786839,34.0831020796,10
33.2971420485,34.0828791046,11
33.2791053594,34.0826563283,12
33.2610686166,34.0824337503,13
33.24303182,34.0822113705,14
33.2249949698,34.0819891888,15
33.2069580658,34.0817672049,16
33.1889211082,34.0815454188,17
33.1708840969,34.0813238303,18
33.1528470319,34.0811024392,19
33.1348099134,34.0808812452,20
33.1167727412,34.0806602484,21
33.0987355154,34.0804394485,22
33.0806982361,34.0802188453,23
33.0626609032,34.0799984386,24
33.0446235167,34.0797782284,25
33.0265860767,34.0795582145,26
33.0085485832,34.0793383966,27
32.9905110362,34.0791187747,28
32.9724734357,34.0788993485,29
32.9544357818,34.0786801179,30
32.9363980744,34.0784610827,31
32.9183603135,34.0782422429,32
32.9003224993,34.0780235981,33
32.8822846316,34.0778051483,34
32.8642467105,34.0775868933,35
32.8462087361,34.0773688329,36
32.8281707083,34.077150967,37
32.8101326272,34.0769332954,38
32.7920944927,34.076715818,39
32.7740563049,34.0764985345,40
32.7560180639,34.0762814449,41
32.7379797695,34.076064549,42
32.7199414219,34.0758478465,43
32.7019030211,34.0756313374,44
32.683864567,34.0754150215,45
32.6658260597,34.0751988986,46
32.6477874992,34.0749829687,47
32.6297488856,34.0747672314,48
32.6117102188,34.0745516867,49
32.5936714988,34.0743363344,50
32.5756327257,34.0741211743,51
32.5575938995,34.0739062063,52
32.5395550202,34.0736914302,53
32.5215160878,34.073476846,54
32.5034771023,34.0732624533,55
32.4854380638,34.0730482521,56
32.4673989722,34.0728342422,57
32.4493598277,34.0726204234,58
32.4313206301,34.0724067956,59
32.4132813795,34.0721933587,60
32.395242076,34.0719801124,61
32.3772027196,34.0717670567,62
32.3591633102,34.0715541913,63
32.3411238478,34.0713415161,64
32.3230843326,34.071129031,65
32.3050447645,34.0709167358,66
32.2870051435,34.0707046304,67
32.2689654697,34.0704927145,68
32.2509257431,34.0702809881,69
32.2328859636,34.070069451,70
32.2148461313,34.069858103,71
32.1968062462,34.069646944,72
32.1787663084,34.0694359738,73
32.1607263178,34.0692251923,74
32.1426862745,34.0690145993,75
32.1246461785,34.0688041947,76
32.1066060297,34.0685939783,77
32.0885658283,34.0683839499,78
32.0705255742,34.0681741095,79
32.0524852675,34.0679644568,80
32.0344449081,34.0677549918,81
32.0164044961,34.0675457142,82
31.9983640315,34.0673366239,83
31.9803235143,34.0671277207,84
31.9622829446,34.0669190046,85
31.9442423223,34.0667104753,86
31.9262016474,34.0665021328,87
31.9081609201,34.0662939768,88
31.8901201402,34.0660860072,89
31.8720793079,34.0658782238,90
31.8540384231,34.0656706266,91
31.8359974859,34.0654632153,92
31.8179564962,34.0652559898,93
31.7999154541,34.06504895,94
31.7818743597,34.0648420957,95
31.7638332128,34.0646354267,96
31.7457920136,34.064428943,97
31.727750762,34.0642226443,98
31.7097094581,34.0640165306,99
31.6916681019,34.0638106016,100
31.6736266934,34.0636048572,101
31.6555852327,34.0633992973,102
31.6375437196,34.0631939218,103
31.6195021544,34.0629887304,104
31.6014605369,34.0627837231,105
31.5834188672,34.0625788996,106
31.5653771453,34.0623742599,107
31.5473353712,34.0621698038,108
31.529293545,34.0619655311,109
31.5112516666,34.0617614418,110
31.4932097361,34.0615575356,111
31.4751677536,34.0613538124,112
31.4571257189,34.0611502721,113
31.4390836322,34.0609469145,114
31.4210414934,34.0607437394,115
31.4029993026,34.0605407469,116
31.3849570597,34.0603379366,117
31.3669147649,34.0601353084,118
31.3488724181,34.0599328623,119
31.3308300193,34.059730598,120
31.3127875686,34.0595285154,121
31.294745066,34.0593266144,122
31.2767025114,34.0591248948,123
31.258659905,34.0589233566,124
31.2406172466,34.0587219994,125
31.2225745365,34.0585208233,126
31.2045317744,34.058319828,127
31.1864889606,34.0581190134,128
31.168446095,34.0579183794,129
31.1504031775,34.0577179258,130
31.1323602083,34.0575176525,131
31.1143171874,34.0573175594,132
31.0962741147,34.0571176463,133
31.0782309903,34.056917913,134
31.0601878142,34.0567183595,135
31.0421445865,34.0565189855,136
31.0241013071,34.056319791,137
31.006057976,34.0561207758,138
30.9880145933,34.0559219397,139
