lat,long,name
31.373924855,34.2377522423,233
31.3649042608,34.2376340035,234
31.3558836535,34.2375158178,235
31.346863033,34.2373976853,236
31.3378423995,34.2372796057,237
31.3288217529,34.2371615793,238
31.3198010932,34.2370436058,239
31.3107804204,34.2369256854,240
31.3017597345,34.236807818,241
31.2927390355,34.2366900035,242
31.2837183235,34.2365722419,243
31.2746975983,34.2364545333,244
31.2656768601,34.2363368776,245
31.2566561088,34.2362192748,246
31.3828434998,34.2483852408,653
31.3738229545,34.2482659448,654
31.3648023962,34.2481467023,655
31.3557818247,34.2480275134,656
31.3467612402,34.247908378,657
31.3377406425,34.2477892961,658
31.3287200318,34.2476702677,659
31.3196994079,34.2475512928,660
31.310678771,34.2474323714,661
31.301658121,34.2473135034,662
31.2926374578,34.2471946888,663
31.2836167816,34.2470759276,664
31.2745960923,34.2469572198,665
31.2655753899,34.2468385653,666
31.2565546745,34.2467199641,667
31.2475339459,34.2466014163,668
31.2385132043,34.2464829217,669
31.2294924496,34.2463644805,670
31.3827407016,34.258899894,1074
31.3737201925,34.2587795938,1075
31.3646996704,34.2586593476,1076
31.3556791352,34.2585391554,1077
31.3466585868,34.2584190173,1078
31.3376380253,34.2582989331,1079
31.3286174507,34.2581789028,1080
31.3195968631,34.2580589265,1081
31.3105762623,34.257939004,1082
31.3015556484,34.2578191355,1083
31.2925350214,34.2576993208,1084
31.2835143813,34.25757956,1085
31.2744937282,34.257459853,1086
31.2654730619,34.2573401997,1087
31.2564523826,34.2572206003,1088
31.2474316901,34.2571010546,1089
31.2384109846,34.2569815627,1090
31.229390266,34.2568621244,1091
31.2203695344,34.2567427399,1092
31.3826370416,34.2694144932,1495
31.3736165691,34.2692931889,1496
31.3645960835,34.269171939,1497
31.3555755847,34.2690507436,1498
31.3465550728,34.2689296027,1499
31.3375345479,34.2688085162,1500
31.3285140098,34.2686874841,1501
31.3194934585,34.2685665063,1502
31.3104728942,34.2684455829,1503
31.3014523168,34.2683247139,1504
31.2924317263,34.2682038991,1505
31.2834111226,34.2680831387,1506
31.2743905059,34.2679624325,1507
31.2653698761,34.2678417805,1508
31.2563492332,34.2677211828,1509
31.2473285771,34.2676006393,1510
31.238307908,34.26748015,1511
31.2292872258,34.2673597148,1512
31.2202665306,34.2672393338,1513
31.2112458222,34.2671190069,1514
31.2022251008,34.2669987341,1515
31.1932043662,34.2668785154,1516
31.1841836186,34.2667583507,1517
31.175162858,34.2666382401,1518
31.1661420842,34.2665181835,1519
31.1571212974,34.2663981809,1520
31.4005733519,34.2801738198,1914
31.3915529425,34.2800514014,1915
31.3825325199,34.279929038,1916
31.3735120842,34.2798067296,1917
31.3644916354,34.2796844761,1918
31.3554711735,34.2795622775,1919
31.3464506984,34.2794401338,1920
31.3374302102,34.279318045,1921
31.3284097089,34.2791960111,1922
31.3193891944,34.2790740319,1923
31.3103686669,34.2789521076,1924
31.3013481262,34.278830238,1925
31.2923275724,34.2787084232,1926
31.2833070055,34.2785866632,1927
31.2742864256,34.2784649579,1928
31.2652658325,34.2783433072,1929
31.2562452263,34.2782217113,1930
31.247224607,34.27810017,1931
31.2382039746,34.2779786833,1932
31.2291833291,34.2778572512,1933
31.2201626705,34.2777358737,1934
31.2111419988,34.2776145508,1935
31.2021213141,34.2774932825,1936
31.1931006162,34.2773720686,1937
31.1840799053,34.2772509093,1938
31.1750591813,34.2771298045,1939
31.1660384442,34.2770087541,1940
31.157017694,34.2768877581,1941
29.7135308689,34.2582151003,2101
29.7045080441,34.2581025999,2102
29.6954852066,34.2579901507,2103
29.6864623565,34.2578777526,2104
33.4747999174,34.3205969999,2105
33.4657826254,34.3204602142,2106
33.4567653197,34.3203234895,2107
33.4477480004,34.3201868257,2108
33.4387306675,34.3200502226,2109
33.429713321,34.3199136804,2110
33.4206959608,34.3197771989,2111
33.4116785871,34.3196407782,2112
33.4026611997,34.3195044182,2113
33.3936437986,34.319368119,2114
33.384626384,34.3192318804,2115
33.3756089558,34.3190957024,2116
33.3665915139,34.3189595851,2117
33.3575740584,34.3188235284,2118
