X,Y,FID
617703.94,3490705.37,214
617703.94,3489705.37,215
617703.94,3488705.37,216
617703.94,3487705.37,217
617703.94,3486705.37,218
617703.94,3485705.37,219
617703.94,3484705.37,220
617703.94,3483705.37,221
617703.94,3482705.37,222
617703.94,3481705.37,223
617703.94,3480705.37,224
617703.94,3479705.37,225
617703.94,3478705.37,226
617703.94,3477705.37,227
617703.94,3476705.37,228
617703.94,3475705.37,229
617703.94,3474705.37,230
617703.94,3473705.37,231
617703.94,3472705.37,232
617703.94,3471705.37,233
617703.94,3470705.37,234
617703.94,3469705.37,235
617703.94,3468705.37,236
617703.94,3467705.37,237
617703.94,3466705.37,238
617703.94,3465705.37,239
617703.94,3464705.37,240
617703.94,3463705.37,241
617703.94,3462705.37,242
617703.94,3461705.37,243
617703.94,3460705.37,244
617703.94,3459705.37,245
617703.94,3458705.37,246
617703.94,3457705.37,247
617703.94,3456705.37,248
617703.94,3455705.37,249
617703.94,3454705.37,250
617703.94,3453705.37,251
617703.94,3452705.37,252
617703.94,3451705.37,253
617703.94,3450705.37,254
617703.94,3449705.37,255
617703.94,3448705.37,256
617703.94,3447705.37,257
617703.94,3446705.37,258
617703.94,3445705.37,259
617703.94,3444705.37,260
617703.94,3443705.37,261
617703.94,3442705.37,262
617703.94,3441705.37,263
617703.94,3440705.37,264
617703.94,3439705.37,265
617703.94,3438705.37,266
617703.94,3437705.37,267
617703.94,3436705.37,268
617703.94,3435705.37,269
617703.94,3434705.37,270
617703.94,3433705.37,271
617703.94,3432705.37,272
617703.94,3431705.37,273
617703.94,3430705.37,274
617703.94,3429705.37,275
617703.94,3428705.37,276
617703.94,3427705.37,277
617703.94,3426705.37,278
617703.94,3425705.37,279
617703.94,3424705.37,280
617703.94,3423705.37,281
617703.94,3422705.37,282
617703.94,3421705.37,283
617703.94,3420705.37,284
617703.94,3419705.37,285
617703.94,3418705.37,286
617703.94,3417705.37,287
617703.94,3416705.37,288
617703.94,3415705.37,289
617703.94,3414705.37,290
617703.94,3413705.37,291
617703.94,3412705.37,292
617703.94,3411705.37,293
617703.94,3410705.37,294
617703.94,3409705.37,295
617703.94,3408705.37,296
617703.94,3407705.37,297
617703.94,3406705.37,298
617703.94,3405705.37,299
617703.94,3404705.37,300
617703.94,3403705.37,301
617703.94,3402705.37,302
617703.94,3401705.37,303
617703.94,3400705.37,304
617703.94,3399705.37,305
617703.94,3398705.37,306
617703.94,3397705.37,307
617703.94,3396705.37,308
617703.94,3395705.37,309
617703.94,3394705.37,310
617703.94,3393705.37,311
617703.94,3392705.37,312
617703.94,3391705.37,313
617703.94,3390705.37,314
617703.94,3389705.37,315
617703.94,3388705.37,316
617703.94,3387705.37,317
617703.94,3386705.37,318
617703.94,3385705.37,319
617703.94,3384705.37,320
617703.94,3383705.37,321
617703.94,3382705.37,322
617703.94,3381705.37,323
617703.94,3380705.37,324
617703.94,3379705.37,325
617703.94,3378705.37,326
617703.94,3377705.37,327
617703.94,3376705.37,328
617703.94,3375705.37,329
617703.94,3374705.37,330
617703.94,3373705.37,331
617703.94,3372705.37,332
617703.94,3371705.37,333
617703.94,3370705.37,334
617703.94,3369705.37,335
617703.94,3368705.37,336
617703.94,3367705.37,337
617703.94,3366705.37,338
617703.94,3365705.37,339
617703.94,3364705.37,340
617703.94,3363705.37,341
617703.94,3362705.37,342
617703.94,3361705.37,343
617703.94,3360705.37,344
617703.94,3359705.37,345
617703.94,3358705.37,346
617703.94,3357705.37,347
617703.94,3356705.37,348
617703.94,3355705.37,349
617703.94,3354705.37,350
617703.94,3353705.37,351
617703.94,3352705.37,352
617703.94,3351705.37,353
617703.94,3350705.37,354
617703.94,3349705.37,355
617703.94,3348705.37,356
617703.94,3347705.37,357
617703.94,3346705.37,358
617703.94,3345705.37,359
617703.94,3344705.37,360
617703.94,3343705.37,361
617703.94,3342705.37,362
617703.94,3341705.37,363
617703.94,3340705.37,364
617703.94,3339705.37,365
617703.94,3338705.37,366
617703.94,3337705.37,367
617703.94,3336705.37,368
617703.94,3335705.37,369
617703.94,3334705.37,370
617703.94,3333705.37,371
617703.94,3332705.37,372
617703.94,3331705.37,373
617703.94,3330705.37,374
617703.94,3329705.37,375
617703.94,3328705.37,376
617703.94,3327705.37,377
617703.94,3326705.37,378
617703.94,3325705.37,379
617703.94,3324705.37,380
617703.94,3323705.37,381
617703.94,3322705.37,382
617703.94,3321705.37,383
617703.94,3320705.37,384
617703.94,3319705.37,385
617703.94,3318705.37,386
617703.94,3317705.37,387
617703.94,3316705.37,388
617703.94,3315705.37,389
617703.94,3314705.37,390
617703.94,3313705.37,391
617703.94,3312705.37,392
617703.94,3311705.37,393
617703.94,3310705.37,394
617703.94,3309705.37,395
617703.94,3308705.37,396
617703.94,3307705.37,397
617703.94,3306705.37,398
617703.94,3305705.37,399
617703.94,3304705.37,400
617703.94,3303705.37,401
617703.94,3302705.37,402
617703.94,3301705.37,403
617703.94,3300705.37,404
617703.94,3299705.37,405
617703.94,3298705.37,406
617703.94,3297705.37,407
617703.94,3296705.37,408
617703.94,3295705.37,409
617703.94,3294705.37,410
617703.94,3293705.37,411
617703.94,3292705.37,412
617703.94,3291705.37,413
617703.94,3290705.37,414
617703.94,3289705.37,415
617703.94,3288705.37,416
617703.94,3287705.37,417
617703.94,3286705.37,418
617703.94,3285705.37,419
617703.94,3284705.37,420
618703.94,3704705.37,421
618703.94,3703705.37,422
618703.94,3702705.37,423
618703.94,3701705.37,424
618703.94,3700705.37,425
618703.94,3699705.37,426
618703.94,3698705.37,427
618703.94,3697705.37,428
618703.94,3696705.37,429
618703.94,3695705.37,430
618703.94,3694705.37,431
618703.94,3693705.37,432
618703.94,3692705.37,433
618703.94,3691705.37,434
618703.94,3690705.37,435
618703.94,3689705.37,436
618703.94,3688705.37,437
618703.94,3687705.37,438
618703.94,3686705.37,439
618703.94,3685705.37,440
618703.94,3684705.37,441
618703.94,3683705.37,442
618703.94,3682705.37,443
618703.94,3681705.37,444
618703.94,3680705.37,445
618703.94,3679705.37,446
618703.94,3678705.37,447
618703.94,3677705.37,448
618703.94,3676705.37,449
618703.94,3675705.37,450
618703.94,3674705.37,451
618703.94,3673705.37,452
