lat,lng,name
33.3166924867,34.3742070659,0
33.2265186435,34.3727950333,1
33.1363434383,34.3713892771,2
33.0461668731,34.3699897711,3
32.95598895,34.3685964896,4
32.8658096711,34.3672094066,5
32.7756290385,34.3658284967,6
32.6854470544,34.3644537344,7
32.5952637207,34.3630850944,8
32.5050790397,34.3617225517,9
32.4148930135,34.3603660814,10
32.3247056443,34.3590156587,11
32.2345169342,34.3576712592,12
32.1443268854,34.3563328582,13
32.0541355001,34.3550004317,14
31.9639427805,34.3536739556,15
31.8737487288,34.3523534059,16
31.7835533472,34.3510387588,17
31.6933566381,34.3497299908,18
31.6031586035,34.3484270784,19
31.5129592458,34.3471299983,20
31.4227585673,34.3458387274,21
31.3325565702,34.3445532427,22
31.2423532568,34.3432735214,23
31.1521486294,34.3419995407,24
31.0619426903,34.3407312783,25
30.9717354419,34.3394687117,26
30.8815268866,34.3382118186,27
30.7913170265,34.336960577,28
30.7011058642,34.335714965,29
30.6108934019,34.3344749607,30
30.5206796421,34.3332405425,31
30.4304645872,34.332011689,32
30.3402482395,34.3307883787,33
30.2500306015,34.3295705905,34
30.1598116756,34.3283583032,35
30.0695914642,34.3271514959,36
29.9793699698,34.3259501478,37
29.8891471948,34.3247542383,38
29.7989231418,34.3235637468,39
29.7086978132,34.3223786529,40
29.6184712115,34.3211989364,41
29.5282433391,34.3200245771,42
29.4380141987,34.318855555,43
33.3154579269,34.4816066019,44
33.2252882886,34.4800843083,45
33.1351172798,34.478568781,46
33.0449449026,34.4770599917,47
32.9547711592,34.4755579126,48
32.8645960517,34.4740625158,49
32.7744195822,34.4725737738,50
32.6842417529,34.4710916591,51
32.5940625659,34.4696161447,52
32.5038820235,34.4681472033,53
32.4137001278,34.4666848083,54
32.323516881,34.4652289329,55
32.2333322854,34.4637795507,56
32.1431463431,34.4623366352,57
32.0529590564,34.4609001605,58
31.9627704275,34.4594701006,59
31.8725804587,34.4580464295,60
31.7823891523,34.4566291219,61
31.6921965105,34.4552181521,62
31.6020025356,34.453813495,63
31.51180723,34.4524151254,64
31.4216105959,34.4510230184,65
31.3314126357,34.4496371492,66
31.2412133516,34.4482574932,67
31.1510127461,34.4468840259,68
31.0608108215,34.4455167232,69
30.9706075801,34.4441555608,70
30.8804030244,34.4428005148,71
30.7901971567,34.4414515614,72
30.6999899794,34.440108677,73
30.6097814949,34.4387718381,74
30.5195717057,34.4374410212,75
30.4293606142,34.4361162033,76
30.3391482229,34.4347973614,77
30.2489345341,34.4334844725,78
30.1587195504,34.432177514,79
30.0685032742,34.4308764631,80
29.978285708,34.4295812977,81
29.8880668543,34.4282919953,82
29.7978467157,34.4270085338,83
29.7076252946,34.4257308912,84
29.6174025936,34.4244590458,85
29.5271786152,34.4231929757,86
29.436953362,34.4219326595,87
33.3141305788,34.5889993562,88
33.2239654612,34.58736683,89
33.1337989641,34.5857415597,90
33.0436310897,34.5841235151,91
32.9534618399,34.5825126662,92
32.8632912172,34.5809089831,93
32.7731192235,34.5793124364,94
32.6829458613,34.5777229967,95
32.5927711326,34.5761406348,96
32.5025950396,34.5745653217,97
32.4124175848,34.5729970286,98
32.3222387701,34.571435727,99
32.2320585981,34.5698813884,100
32.1418770708,34.5683339846,101
32.0516941906,34.5667934876,102
31.9615099598,34.5652598696,103
31.8713243807,34.563733103,104
31.7811374556,34.5622131602,105
31.6909491868,34.560700014,106
31.6007595767,34.5591936372,107
31.5105686275,34.5576940031,108
31.4203763417,34.5562010847,109
31.3301827217,34.5547148556,110
31.2399877697,34.5532352894,111
31.1497914882,34.5517623599,112
31.0595938797,34.5502960409,113
30.9693949464,34.5488363068,114
30.8791946908,34.5473831317,115
30.7889931154,34.5459364902,116
30.6987902226,34.5444963569,117
30.6085860148,34.5430627066,118
30.5183804946,34.5416355142,119
30.4281736643,34.5402147551,120
30.3379655266,34.5388004043,121
30.2477560837,34.5373924375,122
30.1575453384,34.5359908303,123
30.0673332931,34.5345955584,124
29.9771199503,34.5332065978,125
29.8869053126,34.5318239247,126
29.7966893825,34.5304475152,127
29.7064721625,34.5290773458,128
29.6162536553,34.5277133932,129
29.5260338635,34.526355634,130
29.4358127896,34.5250040451,131
33.3127104628,34.6963848381,132
33.2225501819,34.6946421098,133
33.1323885117,34.6929071267,134
33.0422254544,34.6911798567,135
32.9520610123,34.6894602677,136
32.8618951876,34.687748328,137
32.7717279825,34.686044006,138
32.6815593993,34.6843472704,139
32.5913894403,34.68265809,140
32.5012181077,34.6809764339,141
32.4110454039,34.6793022714,142
32.3208713311,34.6776355719,143
32.2306958916,34.6759763052,144
32.1405190878,34.6743244411,145
32.050340922,34.6726799498,146
31.9601613965,34.6710428014,147
31.8699805138,34.6694129666,148
31.779798276,34.667790416,149
31.6896146857,34.6661751204,150
31.5994297452,34.664567051,151
31.5092434569,34.662966179,152
31.4190558233,34.6613724759,153
31.3288668466,34.6597859133,154
31.2386765294,34.6582064631,155
31.148484874,34.6566340973,156
31.058291883,34.6550687881,157
30.9680975588,34.6535105079,158
30.8779019038,34.6519592292,159
30.7877049206,34.6504149249,160
30.6975066116,34.6488775679,161
30.6073069793,34.6473471313,162
30.5171060263,34.6458235884,163
30.426903755,34.6443069126,164
30.336700168,34.6427970776,165
30.2464952678,34.6412940573,166
30.156289057,34.6397978256,167
30.0660815381,34.6383083567,168
29.9758727138,34.6368256249,169
29.8856625866,34.6353496047,170
29.795451159,34.6338802708,171
29.7052384337,34.6324175981,172
29.6150244134,34.6309615615,173
29.5248091006,34.6295121363,174
29.434592498,34.6280692976,175
33.3111976009,34.8037625571,176
33.2210424722,34.801909659,177
33.130885944,34.8000649954,178
33.0407280183,34.798228532,179
32.9505686977,34.7964002348,180
32.8604079842,34.79458007,181
32.7702458802,34.7927680041,182
32.6800823881,34.7909640038,183
32.5899175101,34.7891680359,184
32.4997512486,34.7873800675,185
32.409583606,34.7856000661,186
32.3194145845,34.7838279991,187
32.2292441866,34.7820638344,188
32.1390724146,34.7803075399,189
32.0488992709,34.7785590839,190
31.9587247579,34.7768184347,191
